n,is_prime_fj,time_fj,is_prime_bp,time_bp
2,True,0.0,True,0.0
3,True,0.0,True,0.0
5,True,0.0,False,0.0
7,True,0.0,True,0.0
11,True,0.0,False,0.0
13,True,0.0,False,0.0
17,True,0.0,True,0.0
19,True,0.0,True,0.0
23,True,0.0,True,0.0
29,True,0.0,False,0.0
31,True,0.0,True,0.0
37,True,0.0,False,0.0
41,True,0.0,False,0.0
43,True,0.0,False,0.0
47,True,0.0,False,0.0
53,True,0.0,False,0.0
59,True,0.0,False,0.0
61,True,0.0,False,0.0
67,True,0.0,True,0.0
71,True,0.0,True,0.0
73,True,0.0,False,0.0
79,True,0.0,False,0.0
83,True,0.0,False,0.0
89,True,0.0,False,0.0
97,True,0.0,False,0.0
101,True,0.0,True,0.0
103,True,0.0,False,0.0
107,True,0.0,False,0.0
109,True,0.0,False,0.0
113,True,0.0,False,0.0
127,True,0.0,True,0.0
131,True,0.0,False,0.0
137,True,0.0,False,0.0
139,True,0.0,False,0.0
149,True,0.0,True,0.0
151,True,0.0,False,0.0
157,True,0.0,False,0.0
163,True,0.0,False,0.0
167,True,0.0,False,0.0
173,True,0.0,True,0.0
179,True,0.0,False,0.0
181,True,0.0,False,0.0
191,True,0.0,False,0.0
193,True,0.0,False,0.0
197,True,0.0,False,0.0
199,True,0.0,False,0.0
211,True,0.0,False,0.0
223,True,0.0,False,0.0
227,True,0.0,False,0.0
229,True,0.0,False,0.0
233,True,0.0,False,0.0
239,True,0.0,False,0.0
241,True,0.0,False,0.0
251,True,0.0,False,0.0
257,True,0.0,True,0.0
263,True,0.0,False,0.0
269,True,0.0,False,0.0
271,True,0.0,True,0.0
277,True,0.0,False,0.0
281,True,0.0,False,0.0
283,True,0.0,False,0.0
293,True,0.0,False,0.0
307,True,0.0,False,0.0
311,True,0.0,False,0.0
313,True,0.0,False,0.0
317,True,0.0,False,0.0
331,True,0.0,False,0.0
337,True,0.0,False,0.0
347,True,0.0,False,0.0
